Waste_Fraction,Residual_Collection,Single_Stream_Recycling,Yardwaste_SSO
Yard_Trimmings_Leaves,56.63327262,0,1381.480999
Yard_Trimmings_Grass,34.64454564,0,1403.469726
Yard_Trimmings_Branches,84.01622374,0,1354.098048
Food_Waste_Vegetable,5860.690725,0,0
Food_Waste_Non_Vegetable,5860.690725,0,0
Wood,2178.068001,0,0
Wood_Other,2178.068001,0,0
Textiles,4372.210305,0,0
Rubber_Leather,2176.460571,0,0
Newsprint,78.57763869,699.4186068,0
Corr_Cardboard,366.8190127,665.1512138,0
Office_Paper,852.856569,0,0
Magazines,852.856569,0,0
third_Class_Mail,99.36727682,753.4892922,0
Folding_Containers,852.856569,0,0
Paper_Bags,852.856569,0,0
Mixed_Paper,852.856569,0,0
Paper_Non_recyclable,852.856569,0,0
HDPE_Translucent_Containers,68.01943262,108.7978959,0
HDPE_Pigmented_Containers,0,0,0
PET_Containers,380.1577263,266.0292379,0
Plastic_Other_1_Polypropylene,0,0,0
Plastic_Other_2,0,0,0
Mixed_Plastic,5233.792924,0,0
Plastic_Film,0,0,0
Plastic_Non_Recyclable,3613.503223,0,0
Ferrous_Cans,119.9240568,69.75271381,0
Ferrous_Metal_Other,1809.966472,0,0
Aluminum_Cans,125.0393047,100.0009316,0
Aluminum_Foil,131.8092813,0,0
Aluminum_Other,276.4780046,0,0
Ferrous_Non_recyclable,1809.966472,0,0
Al_Non_recyclable,276.4780046,0,0
Glass_Brown,287.3262805,345.3582695,0
Glass_Green,148.4305109,484.2540392,0
Glass_Clear,310.4336205,322.2509296,0
Mixed_Glass,6.850949643,625.8336004,0
Glass_Non_recyclable,632.6845501,0,0
Misc_Organic,0,0,0
Misc_Inorganic,2507.591204,0,0
E_waste,0,0,0
Aerobic_Residual,0,0,0
Anaerobic_Residual,0,0,0
Bottom_Ash,0,0,0
Fly_Ash,0,0,0
Diapers_and_sanitary_products,0,0,0
Waste_Fraction_47,0,0,0
Waste_Fraction_48,0,0,0
Waste_Fraction_49,0,0,0
Waste_Fraction_50,0,0,0
Waste_Fraction_51,0,0,0
Waste_Fraction_52,0,0,0
Waste_Fraction_53,0,0,0
Waste_Fraction_54,0,0,0
Waste_Fraction_55,0,0,0
Waste_Fraction_56,0,0,0
Waste_Fraction_57,0,0,0
Waste_Fraction_58,0,0,0
Waste_Fraction_59,0,0,0
Waste_Fraction_60,0,0,0
