,,"Is Net Electricity generator (1 - Yes, 0 - No):",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Facility Life,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,Costs,,Non-Transportation Energy Use,,,,,,,,,,,,,,,,,,,,,,,Transportation Energy Use,,,,,,,,,,,,Undefined Flows for Future Development ,,,,,,,,,
Mass/Energy/Transportation Flows,,,Materials Requiring Additional Treatment,,,,,,Recovered Fiber,,,,,Recovered Plastic,,,,,,,,,,Recovered Metals,,,Glass,,,,,,Electricity,,Production,Equipment,,,,,,,,Boiler,,,,,,,,,,,,Internal Process Transportation (kg km),,,,,Collection (L/Mg),,,,,Empty Return,,,,,,,,,,,
,,Waste Fraction,Bottom_Ash,Fly_Ash,Separated_Organics,Other_Residual,RDF,Wastewater,OCC,Mixed_Paper,ONP,OFF,Fiber_Other,PET,HDPE_Unsorted,HDPE_P,HDPE_T,PVC,LDPE_Film,Polypropylene,Polystyrene,Plastic_Other,Mixed_Plastic,Al,Fe,Cu,Brown_glass,Clear_glass,Green_glass,Mixed_Glass,Capital Costs,Amortized Operating Cost,Electricity_production,Electricity_consumption,Heat_Steam,Equipment_Diesel,Equipment_Gasoline,Equipment_LPG,Equipment_CNG,Equipment_Residual_Fuel_Oil,Equipment_Distillate,Equipment_Kerosene,Equipment_Petroleum_Crude_Oil,Boiler_Diesel,Boiler_Gasoline,Boiler_LPG,Boiler_CNG,Boiler_Residual_Fuel_Oil,Boiler_Distillate,Boiler_Kerosene,Boiler_Petroleum_Crude_Oil,Boiler_Coke,Boiler_Bitumen,Boiler_Coal,Boiler_Wood,Internal_Process_Transportation_Heavy_Duty_Diesel_Truck,Internal_Process_Transportation_Medium_Duty_Diesel_Truck,Internal_Process_Transportation_Barge,Internal_Process_Transportation_Cargo_Ship,Internal_Process_Transportation_Rail,Collection_Diesel,Collection_CNG,Collection_Biodiesel,Collection_Gasoline_Passenger_Vehicle,Collection_Other,Empty_Return_Heavy_Duty_Diesel_Truck,Empty_Return_Medium_Duty_Diesel_Truck,LF_Emission_Material_used,lime_hydrated_loose_weight_RoW_lime_production,ammonia_liquid_RoW_ammonia_production_steam_reforming_liquid,charcoal_GLO_charcoal_production,Nitrogen_Fertilizer,Phosphorous_Fertilizer,Potassium_Fertilizer,Peat,Gore_Cover,Other 10
,,Yard_Trimmings_Leaves,,,,0.0126174,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,37.9342309,,1.4156256,,1.5363993,,,,,,,,,,,,,,,,,,,,,11.4162096,,,,,,,,,,1.5638643,,,,,-5.8011355,-1.8079273,-11.5963016,-0.5708105,,
,,Yard_Trimmings_Grass,,,,0.0105304,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,41.2014294,,1.2665284,,1.519795,,,,,,,,,,,,,,,,,,,,,8.1029394,,,,,,,,,,1.1099917,,,,,-3.4075283,-0.5913874,-3.7932421,-0.405147,,
,,Yard_Trimmings_Branches,,,,0.0830141,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,38.5312576,,1.3682029,,3.8385602,,,,,,,,,,,,,,,,,,,,,10.362371,,,,,,,,,,1.4195029,,,,,-2.4818498,-1.7270901,-11.0778004,-0.5181186,,
,,Food_Waste_Vegetable,,,,0.0098235,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,41.9930652,,1.2304025,,1.5152474,,,,,,,,,,,,,,,,,,,,,7.3001405,,,,,,,,,,1.0000192,,,,,-0.3280244,-0.5013004,-2.7560671,-0.365007,,
,,Food_Waste_Non_Vegetable,,,,0.0100266,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,41.7031015,,1.2436348,,1.5165542,,,,,,,,,,,,,,,,,,,,,7.5941931,,,,,,,,,,1.0403004,,,,,-0.7773771,-2.9270687,-1.5663932,-0.3797097,,
,,Wood,,,,0.8134584,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,45.1721582,,1.0651483,,3.8834126,,,,,,,,,,,,,,,,,,,,,3.6278252,,,,,,,,,,0.4969624,,,,,-2.5645872,-0.2195928,-1.699039,-0.1813913,,
,,Wood_Other,,,,0.7516611,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,45.5132421,,1.0495831,,3.8735477,,,,,,,,,,,,,,,,,,,,,3.2819317,,,,,,,,,,0.4495797,,,,,-3.556254,-0.1873872,-1.4498574,-0.1640966,,
,,Textiles,,,,0.7737495,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,23.1112465,,1.0881812,,1.4009436,,,,,,,,,,,,,,,,,,,,,4.1396679,,,,,,,,,,0.5670778,,,,,-1.3060454,-0.441048,-0.1353826,-0.2069834,,
,,Rubber_Leather,,,,0.7747734,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,22.716659,,1.106188,,1.4033481,,,,,,,,,,,,,,,,,,,,,4.5398196,,,,,,,,,,0.6218931,,,,,-1.28736,-0.0598536,-0.1297296,-0.226991,,
,,Newsprint,,,,0.7765233,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.4270569,,1.0281348,,1.3931331,,,,,,,,,,,,,,,,,,,,,2.8053029,,,,,,,,,,0.3842881,,,,,-0.0563964,-0.0151113,-0.1363058,-0.1402651,,
,,Corr_Cardboard,,,,0.7776669,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.2179089,,1.0376792,,1.3945575,,,,,,,,,,,,,,,,,,,,,3.0174002,,,,,,,,,,0.4133425,,,,,-0.0557057,-0.025044,-0.0795397,-0.15087,,
,,Office_Paper,,,,0.779655,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,23.7046484,,1.0611016,,1.397906,,,,,,,,,,,,,,,,,,,,,3.5378983,,,,,,,,,,0.4846436,,,,,-0.0692032,-0.0083658,-0.025842,-0.1768949,,
,,Magazines,,,,0.7788429,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,23.8118287,,1.0562105,,1.3970898,,,,,,,,,,,,,,,,,,,,,3.4292066,,,,,,,,,,0.4697543,,,,,-0.0625922,-0.0405216,-0.1544323,-0.1714603,,
,,third_Class_Mail,,,,0.7782632,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,23.8963794,,1.052352,,1.3964896,,,,,,,,,,,,,,,,,,,,,3.3434636,,,,,,,,,,0.4580087,,,,,-0.1082671,-0.0355609,-0.2058641,-0.1671732,,
,,Folding_Containers,,,,0.7768815,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.3863646,,1.0299918,,1.3935263,,,,,,,,,,,,,,,,,,,,,2.846569,,,,,,,,,,0.389941,,,,,-0.0950894,-0.02322,-0.06732,-0.1423285,,
,,Paper_Bags,,,,0.7771342,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.1390357,,1.0412785,,1.3948827,,,,,,,,,,,,,,,,,,,,,3.0973856,,,,,,,,,,0.4242994,,,,,0,-0.029155,-0.084527,-0.1548693,,
,,Mixed_Paper,,,,0.7773433,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.1752606,,1.0396254,,1.3947245,,,,,,,,,,,,,,,,,,,,,3.0606499,,,,,,,,,,0.4192671,,,,,-0.1497408,-0.0556072,-0.1586107,-0.1530325,,
,,Paper_Non_recyclable,,,,0.7770742,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.131194,,1.0416364,,1.3949137,,,,,,,,,,,,,,,,,,,,,3.1053379,,,,,,,,,,0.4253888,,,,,-0.1144556,-0.1290496,-0.2420885,-0.1552669,,
,,HDPE_Translucent_Containers,,,,1.0108501,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.2395406,,0.9055311,,1.0732409,,,,,,,,,,,,,,,,,,,,,0.0807759,,,,,,,,,,0.0110652,,,,,-0.057884,-0.0390717,-0.0538321,-0.0040388,,
,,HDPE_Pigmented_Containers,,,,1.0108501,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.2395406,,0.9055311,,1.0732409,,,,,,,,,,,,,,,,,,,,,0.0807759,,,,,,,,,,0.0110652,,,,,0,-0.0390717,-0.0538321,-0.0040388,,
,,PET_Containers,,,,1.0108501,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.2395406,,0.9055311,,1.0732409,,,,,,,,,,,,,,,,,,,,,0.0807759,,,,,,,,,,0.0110652,,,,,-0.0926144,-0.0390717,-0.0538321,-0.0040388,,
,,Plastic_Other_1_Polypropylene,,,,1.0108501,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.2395406,,0.9055311,,1.0732409,,,,,,,,,,,,,,,,,,,,,0.0807759,,,,,,,,,,0.0110652,,,,,0,-0.0109401,-0.0274949,-0.0040388,,
,,Plastic_Other_2,,,,1.0091389,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.2426294,,0.9053901,,1.0729975,,,,,,,,,,,,,,,,,,,,,0.0776436,,,,,,,,,,0.0106361,,,,,-1.8775644,-0.0382887,-0.0527533,-0.0038822,,
,,Mixed_Plastic,,,,1.00931,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.2423205,,0.9054042,,1.0730218,,,,,,,,,,,,,,,,,,,,,0.0779568,,,,,,,,,,0.010679,,,,,0,-0.4612696,-0.1278294,-0.0038978,,
,,Plastic_Film,,,,1.020642,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,27.1083339,,0.9057759,,1.4053624,,,,,,,,,,,,,,,,,,,,,0.0862165,,,,,,,,,,0.0118105,,,,,-0.4416,-0.05208,-0.16152,-0.0043108,,
,,Plastic_Non_Recyclable,,,,1.0105449,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,27.1257036,,0.9049832,,1.4039262,,,,,,,,,,,,,,,,,,,,,0.0686019,,,,,,,,,,0.0093975,,,,,-0.445776,-1.2504017,-0.2696945,-0.0034301,,
,,Ferrous_Cans,,,,0.9882896,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.0412248,,0.9145811,,1.0716613,,,,,,,,,,,,,,,,,,,,,0.2818883,,,,,,,,,,0.0386148,,,,,0,-0.0266885,-0.0669729,-0.0140944,,
,,Ferrous_Metal_Other,,,,0.9882896,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.0412248,,0.9145811,,1.0716613,,,,,,,,,,,,,,,,,,,,,0.2818883,,,,,,,,,,0.0386148,,,,,0,-0.0266885,-0.0669729,-0.0140944,,
,,Aluminum_Cans,,,,0.9995662,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.0133175,,0.9158547,,1.0732652,,,,,,,,,,,,,,,,,,,,,0.3101892,,,,,,,,,,0.0424917,,,,,0,-0.01595,-0.02349,-0.0155095,,
,,Aluminum_Foil,,,,1.0110212,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.2392318,,0.9055452,,1.0732652,,,,,,,,,,,,,,,,,,,,,0.0810892,,,,,,,,,,0.0111081,,,,,0,-0.079895,-0.17255,-0.0040545,,
,,Aluminum_Other,,,,0.9995662,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.0133175,,0.9158547,,1.0732652,,,,,,,,,,,,,,,,,,,,,0.3101892,,,,,,,,,,0.0424917,,,,,0,-0.079895,-0.17255,-0.0155095,,
,,Ferrous_Non_recyclable,,,,0.9995662,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.0133175,,0.9158547,,1.0732652,,,,,,,,,,,,,,,,,,,,,0.3101892,,,,,,,,,,0.0424917,,,,,0,-0.03074,-0.07714,-0.0155095,,
,,Al_Non_recyclable,,,,0.9995662,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.0133175,,0.9158547,,1.0732652,,,,,,,,,,,,,,,,,,,,,0.3101892,,,,,,,,,,0.0424917,,,,,0,-0.079895,-0.17255,-0.0155095,,
,,Glass_Brown,,,,0.9952626,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.023968,,0.9153686,,1.0726531,,,,,,,,,,,,,,,,,,,,,0.2993885,,,,,,,,,,0.0410121,,,,,0,-0.0168002,-0.9653226,-0.0149694,,
,,Glass_Green,,,,0.9966315,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.0205801,,0.9155232,,1.0728478,,,,,,,,,,,,,,,,,,,,,0.3028241,,,,,,,,,,0.0414827,,,,,0,-0.0133725,-1.0852054,-0.0151412,,
,,Glass_Clear,,,,0.9893163,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.0386839,,0.9146971,,1.0718073,,,,,,,,,,,,,,,,,,,,,0.284465,,,,,,,,,,0.0389678,,,,,0,-0.0081683,-0.4658459,-0.0142233,,
,,Mixed_Glass,,,,0.9929803,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.0296161,,0.9151109,,1.0723285,,,,,,,,,,,,,,,,,,,,,0.2936607,,,,,,,,,,0.0402275,,,,,0,-0.011209,-0.6923918,-0.014683,,
,,Glass_Non_recyclable,,,,0.9907109,,,,,,,,,,,,,,,,,,,,,,,,,49.7526442,24.0352325,,0.9148546,,1.0720057,,,,,,,,,,,,,,,,,,,,,0.2879651,,,,,,,,,,0.0394473,,,,,0,-0.0093107,-0.5762568,-0.0143983,,
