,Objective,Time,Ratio
0,-30430027.791112274,64,0.9999999901986776
1,-29979201.084483657,65,0.9851847982670556
2,-30430027.791108098,72,0.9999999901985404
3,-14579098.687207934,69,0.47910237362884095
4,-30430027.791083615,57,0.9999999901977358
5,-30430027.428457536,50,0.9999999782810173
6,-29948134.933223903,49,0.9841638938114791
7,-10269674.002955342,57,0.33748486767069036
8,-10652461.424703535,57,0.3500641338029471
9,-30430027.791107044,57,0.9999999901985057
10,-30430027.790960774,99,0.999999990193699
11,-29435140.57113324,64,0.9673057311905278
12,-28115168.40409645,49,0.9239284407338676
13,-17032257.827330068,50,0.559718767833858
14,-30430027.791103385,56,0.9999999901983855
15,-15071736.860889647,57,0.4952915855557881
16,-30430027.791852344,90,0.999999990222998
17,-30087387.71057325,64,0.9887400570979666
18,-30430027.79110614,68,0.999999990198476
19,-27941580.054709967,42,0.9182239323818974
20,-30430027.791215073,50,0.9999999902020558
21,-30007114.542099327,42,0.9861020980320672
22,-10269674.002958372,67,0.33748486767078995
23,-20113755.164844565,64,0.6609837856795454
24,-30430027.791109078,64,0.9999999901985726
25,-23948666.594104644,29,0.7870077058020548
26,-30430027.79110479,71,0.9999999901984317
27,-30430027.791163094,57,0.9999999902003477
28,-30430027.79115927,50,0.9999999902002219
29,-28405180.494567756,69,0.9334588982681031
30,-30430027.789624076,57,0.999999990149772
31,-30430027.7910927,50,0.9999999901980344
32,-28076346.345628385,70,0.9226526595103323
33,-27549197.216630023,56,0.9053293390240602
34,-30430027.80991283,71,0.9999999908165067
35,-10269674.0029698,58,0.3374848676711655
36,-30430027.883399323,50,0.9999999932314401
37,-14005590.368567988,66,0.4602555846296436
38,-30430027.791102525,67,0.9999999901983572
39,-30430027.791103385,42,0.9999999901983855
40,-30430027.791108795,104,0.9999999901985632
41,-30430027.79115327,50,0.9999999902000248
42,-30430027.79129098,93,0.9999999902045503
43,-23593204.990499683,61,0.7753264282639256
44,-30430027.791312076,50,0.9999999902052435
45,-30430027.79010596,57,0.9999999901656079
46,-28249974.44406942,50,0.9283584741067278
47,-30430027.79108554,57,0.9999999901977991
48,-19035591.037019417,75,0.6255528578914146
49,-30430027.363474123,80,0.9999999761455144
50,-27586929.611993264,49,0.9065693114372446
51,-30430027.791681062,64,0.9999999902173693
52,-10269674.002956538,57,0.33748486767072966
53,-30430028.08936679,59,1.0
54,-30430027.791995063,50,0.999999990227688
55,-30430027.791164517,120,0.9999999902003944
56,-30430027.79110542,59,0.9999999901984523
57,-30430027.79113204,66,0.9999999901993272
58,-30430027.803265046,51,0.9999999905980453
59,-27711994.95639292,36,0.9106792433779043
60,-10269674.002962727,51,0.33748486767093305
61,-30430027.791103896,43,0.9999999901984022
62,-30430027.79111566,50,0.9999999901987889
63,-11391806.532285413,65,0.374360697230709
64,-10269674.002993142,63,0.3374848676719326
65,-30430027.79155011,50,0.999999990213066
66,-10269674.003064461,65,0.33748486767427627
67,-29659672.860873286,93,0.9746843734014596
68,-30202573.21816743,112,0.992525315108768
69,-18917519.11674472,50,0.6216727457887262
70,-30430020.178452738,50,0.9999997400293542
71,-30430027.791103385,57,0.9999999901983855
72,-30430027.791113846,57,0.9999999901987293
73,-30430027.79110788,57,0.9999999901985333
74,-30429967.543220397,50,0.9999980103157902
75,-30430027.790426046,91,0.9999999901761266
76,-30430027.8855386,78,0.9999999933017416
77,-30430027.791193333,49,0.9999999902013413
78,-10269674.004129307,64,0.33748486770926955
79,-28103785.70164454,54,0.9235543792174443
80,-30430027.612766806,106,0.9999999843378395
81,-30430027.7911171,49,0.9999999901988361
82,-30430027.791103385,64,0.9999999901983855
83,-30430027.7911048,75,0.999999990198432
84,-30430027.79110585,80,0.9999999901984665
85,-30430027.791357767,225,0.999999990206745
86,-30430027.791367047,58,0.99999999020705
87,-30196383.293759216,186,0.9923219001007358
88,-30430027.791161336,57,0.9999999902002898
89,-30430027.801075023,64,0.9999999905260762
90,-10269674.002871353,56,0.3374848676679303
91,-30425542.005034428,67,0.9998525770558218
92,-30430027.79110715,50,0.9999999901985093
93,-10269674.006877031,49,0.337484867799566
94,-30185882.57036069,137,0.9919768224239197
95,-30430027.142197464,50,0.9999999688738597
96,-30430027.791103385,47,0.9999999901983855
97,-28599044.123608798,110,0.9398296984682115
98,-30430027.670028724,63,0.9999999862195965
99,-30430027.791532073,45,0.9999999902124732
