Materials,Comp,RWC,SSR,DSR,MSR,SSYW,REC,WetRes,SSO,DryRes,MRDO,SSYWDO,MSRDO,Bulk_Density
Yard_Trimmings_Leaves,0.026251956,1,0,0,0,0.9606,0,1,0.9,1,1,0.9,0,500
Yard_Trimmings_Grass,0.026251956,1,0,0,0,0.9759,0,1,0.9,1,1,0.9,0,500
Yard_Trimmings_Branches,0.026251956,1,0,0,0,0.9416,0,1,0.9,1,1,0.9,0,500
Food_Waste_Vegetable,0.106983568,1,0,0,0,0,0.6,1,0.5,1,1,0,0.6,500
Food_Waste_Non_Vegetable,0.106983568,1,0,0,0,0,0.6,1,0.5,1,1,0,0.6,500
Wood,0.079518779,1,0,0,0,0,0,1,0,1,1,0,0,500
Wood_Other,0,1,0,0,0,0,0,1,0,1,1,0,0,500
Textiles,0.079812207,1,0,0,0,0,0,1,0,1,1,0,0,300
Rubber_Leather,0.039730047,1,0,0,0,0,0,1,0,1,1,0,0,300
Newsprint,0.014201878,1,0.899,0.899,0.899,0,0.6,1,0,1,1,0,0.5,431
Corr_Cardboard,0.018838028,1,0.6445,0.6445,0.6445,0,0.6,1,0,1,1,0,0.5,431
Office_Paper,0.01556841,1,0,0,0,0,0.6,1,0,1,1,0,0.5,431
Magazines,0.01556841,1,0,0,0,0,0.6,1,0,1,1,0,0.5,431
third_Class_Mail,0.01556841,1,0.8835,0.8835,0.8835,0,0.6,1,0,1,1,0,0.5,431
Folding_Containers,0.01556841,1,0,0,0,0,0.6,1,0,1,1,0,0.5,431
Paper_Bags,0.01556841,1,0,0,0,0,0.6,1,0,1,1,0,0.5,431
Mixed_Paper,0.01556841,1,0,0,0,0,0.6,1,0,1,1,0,0.5,431
Paper_Non_recyclable,0.01556841,1,0,0,0,0,0.6,1,0,1,1,0,0.5,431
HDPE_Translucent_Containers,0.0032277,1,0.6153,0.6153,0.6153,0,0,1,0,1,1,0,0,116
HDPE_Pigmented_Containers,0,1,0.6153,0.6153,0.6153,0,0,1,0,1,1,0,0,116
PET_Containers,0.011795775,1,0.4117,0.4117,0.4117,0,0,1,0,1,1,0,0,116
Plastic_Other_1_Polypropylene,0,1,0,0,0,0,0,1,0,1,1,0,0,116
Plastic_Other_2,0,1,0,0,0,0,0,1,0,1,1,0,0,116
Mixed_Plastic,0.095539906,1,0,0,0,0,0,1,0,1,1,0,0,116
Plastic_Film,0,1,0,0,0,0,0,1,0,1,1,0,0,116
Plastic_Non_Recyclable,0.065962441,1,0,0,0,0,0,1,0,1,1,0,0,116
Ferrous_Cans,0.003462441,1,0.3677,0.3677,0.37,0,0,1,0,1,1,0,0,58
Ferrous_Metal_Other,0.033039906,1,0,0,0,0,0,1,0,1,1,0,0,58
Aluminum_Cans,0.004107981,1,0.4444,0.4444,0.4444,0,0,1,0,1,1,0,0,58
Aluminum_Foil,0.002406103,1,0,0,0,0,0,1,0,1,1,0,0,58
Aluminum_Other,0.005046948,1,0,0,0,0,0,1,0,1,1,0,0,58
Ferrous_Non_recyclable,0.033039906,1,0,0,0,0,0,1,0,1,1,0,0,58
Al_Non_recyclable,0.005046948,1,0,0,0,0,0,1,0,1,1,0,0,58
Glass_Brown,0.011549296,1,0.5459,0.5459,0.5459,0,0,1,0,1,1,0,0,456
Glass_Green,0.011549296,1,0.7654,0.7654,0.7654,0,0,1,0,1,1,0,0,456
Glass_Clear,0.011549296,1,0.5093,0.5093,0.5093,0,0,1,0,1,1,0,0,456
Mixed_Glass,0.011549296,1,0.9892,0.9892,0.9892,0,0,1,0,1,1,0,0,456
Glass_Non_recyclable,0.011549296,1,0,0,0,0,0,1,0,1,1,0,0,456
Misc_Organic,0,1,0,0,0,0,0,1,0,1,1,0,0,500
Misc_Inorganic,0.045774648,1,0,0,0,0,0,1,0,1,1,0,0,300
E_waste,0,1,0,0,0,0,0,1,0,1,1,0,0,300
Aerobic_Residual,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Anaerobic_Residual,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Bottom_Ash,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Fly_Ash,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Diapers_and_sanitary_products,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_47,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_48,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_49,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_50,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_51,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_52,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_53,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_54,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_55,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_56,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_57,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_58,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_59,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_60,0,1,0,0,0,0,0,1,0,1,1,0,0,0
