Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Economic_parameters,Economic_parameters,WTE_lifetime,WTE Lifetime,20.0000000000,years,,,,,,,,
Economic_parameters,Economic_parameters,WTE_capacity_factor,WTE Capacity Factor,0.9100000000,None,,,,,,,,
Economic_parameters,Economic_parameters,Unit_WTE_capital_cost,Unit WTE Capital Cost,520.0000000000,$/design tons per year,,,,,,,,
Economic_parameters,Economic_parameters,Unit_WTE_O_M_cost,Unit WTE O&M Cost,40.0000000000,$/Mg processed,,,,,,,,
Economic_parameters,Economic_parameters,CF_I,Combustor Interest Rate,0.0500000000,None,,,,,,,,
Elec_Prod_Eff,Elec_Prod_Eff,Gross_Efficiency,Gross Efficiency,0.2700000000,None,,,,,,,,
Elec_Prod_Eff,Elec_Prod_Eff,Net_Efficiency,Net Efficiency,0.2400000000,None,,,,,,,,
Elec_Prod_Eff,Elec_Prod_Eff,Heat_prod_Eff,Heat Production Efficiency,0.0000000000,None,,,,,,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,Sulfur_dioxide,Sulfur dioxide,2.0000000000,"ppmv @ 7% oxygen, dry",,,,,,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,HCl,HCl,2.0000000000,"ppmv @ 7% oxygen, dry",,,,,,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,NOx,NOx,35.0000000000,"ppmv @ 7% oxygen, dry",,,,,,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,CO,CO,20.0000000000,"ppmv @ 7% oxygen, dry",,,,,,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,PM,PM,1.5000000000,"mg/dscm  @ 7% oxygen, dry",,,,,,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,Dioxins_Furans,Dioxins / Furans,1.5000000000,"ng/dscm  @ 7% oxygen, dry",,,,,,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,Methane,Methane,1.1000000000,"ppmv @ 7% oxygen, dry",,,,,,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,Nitrous_Oxide,Nitrous Oxide,1.3000000000,"ppmv @ 7% oxygen, dry",,,,,,,,
