Materials,Comp,RWC,SSR,DSR,MSR,SSYW,REC,WetRes,SSO,DryRes,MRDO,SSYWDO,MSRDO,Bulk_Density
Yard_Trimmings_Leaves,,1,0,0,0,0.9606,0,1,0.9,1,1,0.9,0,500
Yard_Trimmings_Grass,,1,0,0,0,0.9759,0,1,0.9,1,1,0.9,0,500
Yard_Trimmings_Branches,1,1,0,0,0,0.9416,0,1,0.9,1,1,0.9,0,500
Food_Waste_Vegetable,,1,0,0,0,0,0.6,1,0.5,1,1,0,0.6,500
Food_Waste_Non_Vegetable,,1,0,0,0,0,0.6,1,0.5,1,1,0,0.6,500
Wood,,1,0,0,0,0,0,1,0,1,1,0,0,500
Wood_Other,,1,0,0,0,0,0,1,0,1,1,0,0,500
Textiles,,1,0,0,0,0,0,1,0,1,1,0,0,300
Rubber_Leather,,1,0,0,0,0,0,1,0,1,1,0,0,300
Newsprint,,1,0.899,0.899,0.899,0,0.6,1,0,1,1,0,0.5,431
Corr_Cardboard,,1,0.6445,0.6445,0.6445,0,0.6,1,0,1,1,0,0.5,431
Office_Paper,,1,0,0,0,0,0.6,1,0,1,1,0,0.5,431
Magazines,,1,0,0,0,0,0.6,1,0,1,1,0,0.5,431
third_Class_Mail,,1,0.8835,0.8835,0.8835,0,0.6,1,0,1,1,0,0.5,431
Folding_Containers,,1,0,0,0,0,0.6,1,0,1,1,0,0.5,431
Paper_Bags,,1,0,0,0,0,0.6,1,0,1,1,0,0.5,431
Mixed_Paper,,1,0,0,0,0,0.6,1,0,1,1,0,0.5,431
Paper_Non_recyclable,,1,0,0,0,0,0.6,1,0,1,1,0,0.5,431
HDPE_Translucent_Containers,,1,0.6153,0.6153,0.6153,0,0,1,0,1,1,0,0,116
HDPE_Pigmented_Containers,,1,0.6153,0.6153,0.6153,0,0,1,0,1,1,0,0,116
PET_Containers,,1,0.4117,0.4117,0.4117,0,0,1,0,1,1,0,0,116
Plastic_Other_1_Polypropylene,,1,0,0,0,0,0,1,0,1,1,0,0,116
Plastic_Other_2,,1,0,0,0,0,0,1,0,1,1,0,0,116
Mixed_Plastic,,1,0,0,0,0,0,1,0,1,1,0,0,116
Plastic_Film,,1,0,0,0,0,0,1,0,1,1,0,0,116
Plastic_Non_Recyclable,,1,0,0,0,0,0,1,0,1,1,0,0,116
Ferrous_Cans,,1,0.3677,0.3677,0.37,0,0,1,0,1,1,0,0,58
Ferrous_Metal_Other,,1,0,0,0,0,0,1,0,1,1,0,0,58
Aluminum_Cans,,1,0.4444,0.4444,0.4444,0,0,1,0,1,1,0,0,58
Aluminum_Foil,,1,0,0,0,0,0,1,0,1,1,0,0,58
Aluminum_Other,,1,0,0,0,0,0,1,0,1,1,0,0,58
Ferrous_Non_recyclable,,1,0,0,0,0,0,1,0,1,1,0,0,58
Al_Non_recyclable,,1,0,0,0,0,0,1,0,1,1,0,0,58
Glass_Brown,,1,0.5459,0.5459,0.5459,0,0,1,0,1,1,0,0,456
Glass_Green,,1,0.7654,0.7654,0.7654,0,0,1,0,1,1,0,0,456
Glass_Clear,,1,0.5093,0.5093,0.5093,0,0,1,0,1,1,0,0,456
Mixed_Glass,,1,0.9892,0.9892,0.9892,0,0,1,0,1,1,0,0,456
Glass_Non_recyclable,,1,0,0,0,0,0,1,0,1,1,0,0,456
Misc_Organic,,1,0,0,0,0,0,1,0,1,1,0,0,500
Misc_Inorganic,,1,0,0,0,0,0,1,0,1,1,0,0,300
E_waste,,1,0,0,0,0,0,1,0,1,1,0,0,300
Aerobic_Residual,,1,0,0,0,0,0,1,0,1,1,0,0,0
Anaerobic_Residual,,1,0,0,0,0,0,1,0,1,1,0,0,0
Bottom_Ash,,1,0,0,0,0,0,1,0,1,1,0,0,0
Fly_Ash,,1,0,0,0,0,0,1,0,1,1,0,0,0
Diapers_and_sanitary_products,,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_47,,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_48,,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_49,,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_50,,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_51,,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_52,,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_53,,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_54,,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_55,,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_56,,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_57,,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_58,,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_59,,1,0,0,0,0,0,1,0,1,1,0,0,0
Waste_Fraction_60,,1,0,0,0,0,0,1,0,1,1,0,0,0
