Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
MW,MW,C,Carbon MW,12.011,g/mol,,,,,,,,
MW,MW,P,Phosphorus MW,30.974,g/mol,,,,,,,,
MW,MW,H,Hydrogen MW,1.008,g/mol,,,,,,,,
MW,MW,N,Nitrogen MW,14.007,g/mol,,,,,,,,
MW,MW,O,Oxygen MW,15.999,g/mol,,,,,,,,
MW,MW,K,K MW,39.098,g/mol,,,,,,,,
MW,MW,S,S MW,32.065,None,,,,,,,,
MW,MW,Cl,Cl MW,35.453,None,,,,,,,,
MW,MW,H2,H2 MW,2.016,g/mol,,,,,,,,
MW,MW,CO,CO MW,28.01,g/mol,,,,,,,,
MW,MW,CO2,CO2 MW,44.009,g/mol,,,,,,,,
MW,MW,CH4,CH4 MW,16.043,g/mol,,,,,,,,
MW,MW,H2O,H2O MW,18.015,g/mol,,,,,,,,
MW,MW,SO2,SO2 MW,64.063,g/mol,,,,,,,,
MW,MW,HCl,HCl MW,36.461,g/mol,,,,,,,,
MW,MW,NOx,HCl MW,46.005,g/mol,,,,,,,,
MW,MW,Hydrocarbons,Hydrocarbons MW,86.18,None,,,,,,,,
MW,MW,Nitrous_Oxide,Nitrous_Oxide MW,44.013,None,,,,,,,,
MW,MW,Ammonia,Ammonia MW,17.031,None,,,,,,,,
MW,MW,Ammonium,Ammonium MW,18.039,None,,,,,,,,
MW,MW,Nitrate,Ammonia MW,62.004,None,,,,,,,,
UC,UC,BTU_KJ,BTU to KJ,1.055,kJ,,,,,,,,
UC,UC,KJ_BTU,KJ to BTU,0.947867299,BTU,,,,,,,,
STP,STP,mole_to_L,mole to Liter,22.41,L,,,,,,,,
STP,STP,m3CH4_to_kg,m3 CH4 to kg CH4,0.71589,kg/m3,,,,,,,,
STP,STP,m3CO2_to_kg,m3 CO2 to kg,1.963810799,kg,,,,,,,,
STP,STP,Density_Air,Density_Air,22.4,L/mol,,,,,,,,
Evap_heat,Evap_heat,Water_Evap_Heat,Water_Evap_Heat,2.26,MJ/Kg,,,,,,,,
LHV,LHV,CH4,Energy content of methane,37.7,MJ/m3 at STP,,,,,,,,
Land_app,Land_app,cmpLandDies,Compost application diesel use,0.8,L/Mg compost,,,,,,,,
Land_app,Land_app,NO3runoff,Nitrogen runoff to surface water,0.14,kg N/kg N applied,,,,,,,,
Land_app,Land_app,NO3leach,Nitrogen leaching to ground water,0.135,kg N/kg N applied,,,,,,,,
Land_app,Land_app,MFEN,Nitrogen mineral fertilizer equivalent,0.4,kg N/kg N applied,,,,,,,,
Land_app,Land_app,MFEP,Phosphorus mineral fertilizer equivalent,1,kg N/kg N applied,,,,,,,,
Land_app,Land_app,MFEK,Potassium mineral fertilizer equivalent,1,kg N/kg N applied,,,,,,,,
Land_app,Land_app,DslAppN,Fertilizer - Diesel fuel for application per kg N,0.00229,L/kg,,,,,,,,
Land_app,Land_app,DslAppP,Fertilizer - Diesel fuel for application per kg P,0.00186,L/kg,,,,,,,,
Land_app,Land_app,DslAppK,Fertilizer - Diesel fuel for application per kg K,0.00125,L/kg,,,,,,,,
Land_app,Land_app,fert_NO3Run,Fertilizer - Nitrate runoff to surface water,10,%,,,,,,,,
Land_app,Land_app,fert_NO3Leach,Fertilizer - Nitrate leaching to ground water,10,%,,,,,,,,
Land_app,Land_app,fert_N2O,Fertilizer - N released as N2O,2.3,%,,,,,,,,
Land_app,Land_app,fert_NH3,Fertilizer - N as NH3,50,%,,,,,,,,
Land_app,Land_app,fert_NH3Evap,Fertilizer - NH3 evaporated,5,%,,,,,,,,
WWT,WWT,bod_rem,BOD Removal Efficiency,97,%,,,,,,,,
WWT,WWT,cod_rem,COD Removal Efficiency,95,%,,,,,,,,
WWT,WWT,tss_rem,TSS (Total suspended solids) Removal Efficiency,96,%,,,,,,,,
WWT,WWT,n_rem,Total Nitrogen Removal Efficiency,72,%,,,,,,,,
WWT,WWT,p_rem,Phosphate Removal Efficiency,84,%,,,,,,,,
WWT,WWT,metals_rem,Metals Removal Efficiency,85,%,,,,,,,,
Leachate_treat,Leachate_treat,ad_leachDens,Leachate density,1,kg/L,,,,,,,,
Leachate_treat,Leachate_treat,sludgef,Solid waste produced per volume of leachate,1.2,kg waste/m3 leachate,,,,,,,,
Leachate_treat,Leachate_treat,co2bod,CO2 Biomass produced per BOD removed,3.6,kg CO2b/kg BOD,,,,,,,,
Leachate_treat,Leachate_treat,elecBOD,Electricity used per mass of BOD removed,0.99,kWh/kg BOD removed,,,,,,,,
