Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Energy Recovery Costs,Eng_rec_cost,capital,Capital Cost,1400,$/kW,,,,,,,,
Energy Recovery Costs,Eng_rec_cost,O&M,O&M Cost,130,$/MW,,,,,,,,
Energy Recovery Costs,Eng_rec_cost,Life,Life of Engine,20,years,,,,,,,,
Energy Recovery Costs,Eng_rec_cost,engineCap,Engine capacity per Mgpd,5,kW/Mgpd,,,,,,,,
Landfill Gas Parameters,LF_gas,actk,Landfill decay rate,0.04,1/yr,,,,,,,,
Landfill Gas Parameters,LF_gas,initColTime,Time until initial gas collection,2,years,,,,,,,,
Landfill Gas Parameters,LF_gas,initColEff,Initial gas collection efficiency,50,%,,,,,,,,
Landfill Gas Parameters,LF_gas,cellFillTime,Cell fill time,5,years,,,,,,,,
Landfill Gas Parameters,LF_gas,intColEff,Gas collection efficiency under intermediate cover,75,%,,,,,,,,
Landfill Gas Parameters,LF_gas,incColTime,Time to increased gas collection efficiency,15,years,,,,,,,,
Landfill Gas Parameters,LF_gas,incColEff,Increased gas collection efficiency,82.5,%,,,,,,,,
Landfill Gas Parameters,LF_gas,timeToFinCover,Time from final waste placement to final cover,1,years,,,,,,,,
Landfill Gas Parameters,LF_gas,finColEff,Gas collection efficiency under final cover,90,%,,,,,,,,
Landfill Gas Parameters,LF_gas,enrgOn,Energy recovery cuton time,5,years,,,,,,,,
Landfill Gas Parameters,LF_gas,enrgOff1,Energy recovery cutoff time,52,years,,,,,,,,
Landfill Gas Parameters,LF_gas,flareOff,Flare cutoff time,50,Years,,,,,,,,
Landfill Gas Parameters,LF_gas,enrgRecovered,Recover energy ,1,None,,,,,,,,
Landfill Gas Parameters,LF_gas,EnrgRecDownTime,Energy recovery downtime ,3,%,,,,,,,,
Landfill Gas Parameters,LF_gas,FlareCombEff,Flare methane destruction efficiency,99.9,%,,,,,,,,
Landfill Gas Parameters,LF_gas,EngineCombEff,Energy recovery destruction efficiency,99,%,,,,,,,,
Landfill Gas Parameters,LF_gas,blwrPRR,Blower power rating requirement,60.85,scfm/hp,,,,,,,,
Landfill Gas Parameters,LF_gas,blwrPRRm3,Blower power rating requirement,1215470.3,m3/yr/kW,,,,,,,,
Landfill Gas Parameters,LF_gas,blwrPerLoad,Blower load,75,%,,,,,,,,
Landfill Gas Parameters,LF_gas,blwrEff,Blower efficiency,90,kW-out/kWh-in,,,,,,,,
Landfill Gas Parameters,LF_gas,optime,Landfill Operation time,20,years,,,,,,,,
Landfill Gas Parameters,LF_gas,ch4prop,CH4 fraction in Biogas,0.5,fraction,,,,,,,,
Oxidation Inputs,Ox,ox_nocol,Oxidation rate without collection,10,%,,,,,,,,
