Category,Description,Unit,Name,RWC,SSR,DSR,MSR,LV,SSYW,SSO,DryRes,REC,WetRes,MRDO,SSYWDO,MSRDO
Collection schedule,Number of households at one stop, (households/stop),HS,1,1,1,1,1,1,1,1,1,1,,,
Collection schedule,Participation rate,(fraction of stops),Prtcp,1,0.83,0.9,0.9,1,0.9,1,,1,,1,0.9,0.9
Collection schedule,Collection frequency,(1 / week),Fr,1,1,1,1,0.33,1,1,1,1,1,,,
Collection schedule,Number of working days a week,(days/week),CD,4,4,4,4,4,4,4,,4,,5,,5
Collection schedule,Actual working hours a day,(hours/vehicle-day),WV,9,9,9,9,9,9,9,,9,,9,,9
Collection schedule,Working hours a day for wage,(hours/person-day),WP,8,8,8,8,8,8,8,,8,,8,,8
Collection Rules,Is the route or truck subject to a weight limit?,,wt_lim,0,0,0,0,0,0,0,0,0,0,0,0,0
Collection Rules,Maximum permissible collected weight before unload,(Mg/vehicle),max_weight,10,10,10,10,10,10,10,,10,,10,10,10
Collection operation times,Loading time at one service stop,(min/stop),TL,0.2,0.2,0.45,0.45,0.15,0.42,0.176,,0.176,,20,,20
Collection operation times,"Travel time between service stops, based on 100% Prtcp",(min/stop),T100,0.2,0.2,0.17,0.17,0.17,0.42,0.173,,0.173,,5,,5
Collection operation times,"Travel time between service stops, adjusted",(min/stop),Tbtw,0.2,0.24,0.19,0.19,0.17,0.46,0.173,,0.173,,5.56,,5.56
Collection operation times,Travel time btwn route and disposal fac. ,(min/trip),Trf,15,20,20,20,15,15,15,,15,,20,,20
Collection operation times,Time to unload at disposal facility,(min/trip),S,16,9,9,9,17,17,17,,17,,15,,15
Collection operation times,Lunch time,(min/day-vehicle),F1_,30,30,30,30,30,30,30,,30,,30,,30
Collection operation times,Is truck left idling during lunch?,(Yes/No)(1/0),F1_idle,0,0,0,0,0,0,0,,0,,0,,0
Collection operation times,Break time,(min/day-vehicle),F2_,30,30,30,30,30,30,30,,30,,30,,30
Collection operation times,Is truck left idling during break?,(Yes/No)(1/0),F2_idle,0,0,0,0,0,0,0,,0,,0,,0
Collection operation times,Time from grg to 1st collection route,(min/day-vehicle),Tgr,7,7,7,7,7,7,7,,7,,20,,20
Collection operation times,Time from disposal fac. to garage,(min/day-vehicle),Tfg,17,22,22,22,17,17,17,,17,,20,,20
Labor,Does a driver work as a collector?,(Yes/No)(1/0),drv_col,0,0,1,1,1,1,0,,0,,1,,1
Labor,Number of additional collectors per vehicle,(perrson/vehicle),Nw,1,1,0,0,0,0,1,,1,,0,,0
Labor,Worker backup rate,(backup workers/coll. workers),bw,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,,0.1,,0.1
Economic data,Fringe benefit rate,(fringe benefit $/wage$) ,a,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,0.4,,0.4,,0.4
