Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Recoverable Material: Is Recovered?,Rec_material,OCC,Is OCC Recovered?,1,0/1/2 (No/Yes_Automatic/Yes_Manual),,,,,,,,
Recoverable Material: Is Recovered?,Rec_material,Non_OCC_Fiber,Is Non_OCC_Fiber Recovered?,1,0/1/2 (No/Yes_Automatic/Yes_Manual),,,,,,,,
Recoverable Material: Is Recovered?,Rec_material,Aluminous,Is Aluminous Recovered?,1,0/1/2 (No/Yes_Automatic/Yes_Manual),,,,,,,,
Recoverable Material: Is Recovered?,Rec_material,Ferrous,Is Ferrous Recovered?,1,0/1/2 (No/Yes_Automatic/Yes_Manual),,,,,,,,
Recoverable Material: Is Recovered?,Rec_material,Film,Is Film Recovered?,1,0/1/2 (No/Yes_Automatic/Yes_Manual),,,,,,,,
Recoverable Material: Is Recovered?,Rec_material,HDPE,Is HDPE Recovered?,1,0/1/2 (No/Yes_Automatic/Yes_Manual),,,,,,,,
Recoverable Material: Is Recovered?,Rec_material,PET,Is PET Recovered?,1,0/1/2 (No/Yes_Automatic/Yes_Manual),,,,,,,,
Recoverable Material: Is Recovered?,Rec_material,Glass,Is Glass Recovered?,1,0/1 (No/Yes_Automatic),,,,,,,,Note: Glass can not be manually sorted
Recoverable Material: Secondary Sort?,Rec_Sorted_material,Newsprint,Additional Separation to Isolate Newsprint?,0,0/1 (No/Yes),,,,,,,,
Recoverable Material: Secondary Sort?,Rec_Sorted_material,Office_Paper,Additional Separation to Isolate Office Paper?,0,0/1 (No/Yes),,,,,,,,
Recoverable Material: Secondary Sort?,Rec_Sorted_material,Magazines,Additional Separation to Isolate Magazines?,0,0/1 (No/Yes),,,,,,,,
Recoverable Material: Secondary Sort?,Rec_Sorted_material,3rd_Class_Mail,Additional Separation to Isolate 3rd_Class_Mail?,0,0/1 (No/Yes),,,,,,,,
Recoverable Material: Secondary Sort?,Rec_Sorted_material,Folding_Containers,Additional Separation to Isolate Folding_Containers?,0,0/1 (No/Yes),,,,,,,,
Recoverable Material: Secondary Sort?,Rec_Sorted_material,Paper_Bags,Additional Separation to Isolate Paper_Bags?,0,0/1 (No/Yes),,,,,,,,
Recoverable Material: Secondary Sort?,Rec_Sorted_material,Glass_Brown,Additional Separation to Isolate Glass_Brown?,1,0/1 (No/Yes),,,,,,,,"If no glass isl isolated, optical sorter will be turned off"
Recoverable Material: Secondary Sort?,Rec_Sorted_material,Glass_Green,Additional Separation to Isolate Glass_Green?,1,0/1 (No/Yes),,,,,,,,"If no glass isl isolated, optical sorter will be turned off"
Recoverable Material: Secondary Sort?,Rec_Sorted_material,Glass_Clear,Additional Separation to Isolate Glass_Clear?,1,0/1 (No/Yes),,,,,,,,"If no glass isl isolated, optical sorter will be turned off"
Recoverable Material: Secondary Sort?,Rec_Sorted_material,HDPE_Translucent,Additional Separation to Isolate HDPE_Translucent?,1,0/1 (No/Yes),,,,,,,,
Recoverable Material: Secondary Sort?,Rec_Sorted_material,HDPE_Pigmented,Additional Separation to Isolate HDPE_Pigmented?,1,0/1 (No/Yes),,,,,,,,
Recoverable Material: Price,Rec_price,OCC,Price of OCC,77,$/Mg,,,,,,,,
Recoverable Material: Price,Rec_price,Non_OCC_Fiber,Price of Non_OCC_Fiber,50,$/Mg,,,,,,,,Price for mixed paper
Recoverable Material: Price,Rec_price,Aluminous,Price of Aluminous,1300,$/Mg,,,,,,,,
Recoverable Material: Price,Rec_price,Ferrous,Price of Ferrous,110,$/Mg,,,,,,,,
Recoverable Material: Price,Rec_price,Film,Price of Film,0,$/Mg,,,,,,,,
Recoverable Material: Price,Rec_price,HDPE,Price of HDPE,330,$/Mg,,,,,,,,
Recoverable Material: Price,Rec_price,PET,Price of PET,290,$/Mg,,,,,,,,
Recoverable Material: Price,Rec_price,Glass,Price of Glass,,$/Mg,,,,,,,,
Recoverable Material: Price,Rec_price,Newsprint,Price of Newsprint,55,$/Mg,,,,,,,,Price is associated with only the material recovered during the secondary sort
Recoverable Material: Price,Rec_price,Office_Paper,Price of Office Paper,50,$/Mg,,,,,,,,Price is associated with only the material recovered during the secondary sort
Recoverable Material: Price,Rec_price,Magazines,Price of Magazines ,50,$/Mg,,,,,,,,Price is associated with only the material recovered during the secondary sort
Recoverable Material: Price,Rec_price,3rd_Class_Mail,Price of 3rd Class Mail,50,$/Mg,,,,,,,,Price is associated with only the material recovered during the secondary sort
Recoverable Material: Price,Rec_price,Folding_Containers,Price of Folding Containers,50,$/Mg,,,,,,,,Price is associated with only the material recovered during the secondary sort
Recoverable Material: Price,Rec_price,Paper_Bags,Price of Paper Bags ,50,$/Mg,,,,,,,,Price is associated with only the material recovered during the secondary sort
Recoverable Material: Price,Rec_price,Glass_Brown,Price of Glass_Brown,20,$/Mg,,,,,,,,Price is associated with only the material recovered during the secondary sort
Recoverable Material: Price,Rec_price,Glass_Green,Price of Glass_Green,1,$/Mg,,,,,,,,Price is associated with only the material recovered during the secondary sort
Recoverable Material: Price,Rec_price,Glass_Clear,Price of Glass_Clear,28,$/Mg,,,,,,,,Price is associated with only the material recovered during the secondary sort
Recoverable Material: Price,Rec_price,HDPE_Translucent,Price of HDPE - Translucent Containers,330,$/Mg,,,,,,,,
Recoverable Material: Price,Rec_price,HDPE_Pigmented,Price of  HDPE - Pigmented Containers,330,$/Mg,,,,,,,,
Recoverable Material: Picking Rate,Rec_PickRate,OCC,Picking Rate of OCC,226.7573696,kg/(sorter*hr),,,,,,,,"Default rates from Nishtala, 1995"
Recoverable Material: Picking Rate,Rec_PickRate,Non_OCC_Fiber,Picking Rate of Non_OCC_Fiber,226.7573696,kg/(sorter*hr),,,,,,,,"Default rates from Nishtala, 1996"
Recoverable Material: Picking Rate,Rec_PickRate,Aluminous,Picking Rate of Aluminous,9.070294785,kg/(sorter*hr),,,,,,,,"Default rates from Nishtala, 1997"
Recoverable Material: Picking Rate,Rec_PickRate,Ferrous,Picking Rate of Ferrous,9.070294785,kg/(sorter*hr),,,,,,,,"Default rates from Nishtala, 1998"
Recoverable Material: Picking Rate,Rec_PickRate,Film,Picking Rate of Film,9.070294785,kg/(sorter*hr),,,,,,,,"Default rates from Nishtala, 1999"
Recoverable Material: Picking Rate,Rec_PickRate,HDPE,Picking Rate of HDPE,36.28117914,kg/(sorter*hr),,,,,,,,"Default rates from Nishtala, 2000"
Recoverable Material: Picking Rate,Rec_PickRate,PET,Picking Rate of PET,22.67573696,kg/(sorter*hr),,,,,,,,"Default rates from Nishtala, 2001"
Recoverable Material: Picking Rate,Rec_PickRate,Newsprint,Picking Rate of Newsprint,226.7573696,kg/(sorter*hr),,,,,,,,"Rate for secondary sort, Nishtala, 1995"
Recoverable Material: Picking Rate,Rec_PickRate,Office_Paper,Picking Rate of Office_Paper,226.7573696,kg/(sorter*hr),,,,,,,,"Rate for secondary sort, Nishtala, 1996"
Recoverable Material: Picking Rate,Rec_PickRate,Magazines,Picking Rate of Magazines ,226.7573696,kg/(sorter*hr),,,,,,,,"Rate for secondary sort, Nishtala, 1997"
Recoverable Material: Picking Rate,Rec_PickRate,3rd_Class_Mail,Picking Rate of 3rd_Class_Mail,226.7573696,kg/(sorter*hr),,,,,,,,"Rate for secondary sort, Nishtala, 1998"
