Compartment,Exchange,Subcompartment,Electricity_production,Electricity_consumption,Heat_Steam,Equipment_Diesel,Equipment_Gasoline,Equipment_LPG,Equipment_CNG,Equipment_Residual_Fuel_Oil,Equipment_Distillate,Internal_Process_Transportation_Heavy_Duty_Diesel_Truck,Internal_Process_Transportation_Medium_Duty_Diesel_Truck,Internal_Process_Transportation_Barge,Internal_Process_Transportation_Cargo_Ship,Internal_Process_Transportation_Rail,Collection_Diesel,Collection_CNG,Collection_Biodiesel,Collection_Gasoline_Passenger_Vehicle,Empty_Return_Heavy_Duty_Diesel_Truck,Empty_Return_Medium_Duty_Diesel_Truck,lime_hydrated_loose_weight_RoW_lime_production,ammonia_liquid_RoW_ammonia_production_steam_reforming_liquid,charcoal_GLO_charcoal_production,Nitrogen_Fertilizer,Phosphorous_Fertilizer,Potassium_Fertilizer,Peat,Gore_Cover,Wire,compost_to_LF,market_for_excavation_skid_steer_loader,Geotextile,HDPE_Liner,HDPE_Pipe,PVC_Pipe,LF_Emission_Material_used,Industrial_Residual_Disposal,Industrial_Wastewater_Treatment,Industrial_BottomAsh_Disposal
,,,kWh,kWh,MJ,L,L,L,,L,L,kgkm,kgkm,kgkm,kgkm,kgkm,L,L,L,L,vkm,vkm,kg,kg,kg,kg-P,kg-P,kg-K,Mg peat,kg,kg,kg,m3,kg,kg,m,m,Mg,Mg,Mg,Mg
Air,"1,4-Butanediol",urban air close to ground,-2.46E-11,2.46E-11,3.96E-13,6.60E-13,3.80E-07,2.46E-11,3.07E-07,2.28E-11,2.36E-10,7.84E-17,1.82E-14,5.43E-17,1.14E-18,2.60E-17,5.80E-10,2.63E-09,2.48E-07,5.37E-11,4.95E-13,4.37E-13,8.07E-12,7.85E-11,1.10E-10,4.03E-09,2.43E-10,1.69E-09,1.95E-09,1.63E-09,7.76E-10,3.35E-10,1.13E-13,6.50E-11,2.50E-11,5.20E-10,4.96E-11,4.48E-12,,,
Air,1-Pentanol,urban air close to ground,-2.40E-13,2.40E-13,8.62E-16,-4.00E-15,5.06E-12,4.75E-13,3.74E-12,4.95E-13,1.00E-12,1.40E-18,1.76E-16,-6.91E-18,-2.50E-20,-5.91E-19,5.59E-12,2.53E-11,4.54E-09,5.14E-13,4.96E-15,4.21E-15,2.79E-13,5.47E-13,1.43E-12,1.47E-09,5.71E-11,8.17E-10,8.47E-11,5.27E-11,8.80E-12,9.82E-13,-6.81E-16,6.78E-13,2.92E-13,1.32E-11,6.18E-13,6.09E-14,,,
Air,1-Pentene,urban air close to ground,-3.68E-13,3.68E-13,4.34E-12,5.16E-12,6.59E-06,1.00E-12,1.35E-11,8.23E-13,3.00E-12,1.65E-16,3.66E-16,7.87E-17,4.64E-18,1.77E-16,1.16E-11,1.07E-10,3.45E-09,3.03E-07,9.46E-15,8.46E-15,3.11E-13,8.78E-12,1.32E-12,1.22E-09,5.15E-11,6.19E-10,8.58E-11,1.82E-10,8.48E-12,4.07E-09,9.33E-13,1.05E-12,4.58E-13,1.43E-10,9.91E-13,2.59E-13,,,
Air,"2,4-D",non-urban air or from high stacks,-3.36E-12,3.36E-12,-3.80E-14,-2.73E-12,1.11E-10,1.05E-11,7.77E-11,1.17E-11,1.53E-11,-1.97E-16,1.40E-14,-1.10E-15,-1.11E-17,-2.23E-16,4.47E-10,2.04E-09,1.01E-06,1.69E-11,3.78E-13,3.38E-13,4.21E-12,6.90E-12,4.36E-10,5.53E-09,2.58E-10,1.99E-09,3.41E-10,1.95E-10,2.01E-09,5.84E-11,-4.44E-13,1.55E-11,1.02E-11,1.33E-10,2.77E-11,1.59E-12,,,
Air,2-Aminopropanol,urban air close to ground,-3.82E-13,3.82E-13,-7.32E-17,-6.16E-15,3.90E-12,3.82E-13,2.89E-12,4.06E-13,7.92E-13,-4.15E-19,1.34E-16,-2.68E-18,-2.07E-20,-5.28E-19,4.26E-12,1.93E-11,3.57E-08,4.22E-13,3.77E-15,3.22E-15,2.15E-13,4.42E-13,1.64E-12,1.14E-09,4.45E-11,6.29E-10,6.90E-11,4.18E-11,9.37E-12,9.00E-13,-1.01E-15,9.39E-13,3.20E-13,1.01E-11,5.49E-13,6.31E-14,,,
Air,2-Methyl pentane,urban air close to ground,-1.76E-11,1.76E-11,4.11E-10,4.79E-10,9.13E-05,6.11E-11,1.01E-09,4.24E-11,2.13E-10,1.49E-14,2.19E-14,7.61E-15,4.32E-16,1.45E-14,6.96E-10,8.32E-09,1.22E-09,8.45E-05,5.37E-13,4.96E-13,9.55E-12,7.93E-10,2.22E-11,1.01E-08,7.91E-10,2.19E-10,2.07E-09,1.35E-08,1.64E-10,5.75E-08,8.68E-11,5.06E-11,2.25E-11,1.26E-08,4.97E-11,2.02E-11,,,
Air,2-Methyl-1-propanol,urban air close to ground,-4.73E-13,4.73E-13,4.74E-15,1.32E-13,8.24E-12,7.08E-13,6.07E-12,7.87E-13,1.49E-12,1.12E-17,3.39E-16,1.90E-17,3.62E-19,6.16E-18,1.08E-11,4.84E-11,1.37E-08,8.41E-13,9.33E-15,8.10E-15,4.41E-13,9.24E-13,4.56E-12,1.82E-09,7.42E-11,1.02E-09,1.30E-10,7.62E-11,2.77E-11,2.21E-12,2.10E-14,1.29E-12,5.24E-13,2.01E-11,1.07E-12,1.05E-13,,,
Air,2-Methyl-2-butene,urban air close to ground,-4.52E-14,4.52E-14,-2.38E-18,-5.19E-18,3.04E-12,2.31E-14,2.44E-12,2.04E-14,4.28E-14,5.33E-22,1.71E-17,-3.20E-21,-1.44E-23,-3.68E-22,5.43E-13,2.46E-12,2.89E-12,3.21E-14,5.19E-16,4.09E-16,7.01E-15,4.90E-14,3.69E-15,2.61E-12,8.39E-14,4.25E-13,1.42E-12,2.44E-12,1.15E-13,1.15E-13,-9.20E-19,1.27E-13,5.80E-14,7.27E-13,1.75E-13,9.49E-15,,,
Air,2-Nitrobenzoic acid,urban air close to ground,-1.53E-13,1.53E-13,-2.38E-16,-1.82E-14,3.29E-12,2.55E-13,2.40E-12,3.18E-13,5.35E-13,-1.27E-18,1.55E-16,-7.61E-18,-6.88E-20,-1.52E-18,4.93E-12,2.24E-11,9.89E-09,3.50E-13,4.17E-15,3.72E-15,1.69E-13,4.06E-13,3.59E-12,3.49E-10,1.61E-11,2.10E-10,5.18E-11,2.64E-11,1.73E-11,7.76E-13,-2.97E-15,4.46E-13,2.00E-13,7.62E-12,4.43E-13,3.96E-14,,,
