Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Economic_parameters,Economic_parameters,WTE_lifetime,WTE Lifetime,20,years,,,,,,,,
Economic_parameters,Economic_parameters,WTE_capacity_factor,WTE Capacity Factor,0.91,None,,,,,,,,
Economic_parameters,Economic_parameters,Unit_WTE_capital_cost,Unit WTE Capital Cost,520,$/design tons per year,,,,,,,,
Economic_parameters,Economic_parameters,Unit_WTE_O_M_cost,Unit WTE O&M Cost,40,$/Mg processed,,,,,,,,
Economic_parameters,Economic_parameters,CF_I,Combustor Interest Rate,0.05,None,,,,,,,,
Elec_Prod_Eff,Elec_Prod_Eff,Gross_Efficiency,Gross Efficiency,0.27,None,,,,,,,,
Elec_Prod_Eff,Elec_Prod_Eff,Net_Efficiency,Net Efficiency,0.24,None,,,,,,,,
Elec_Prod_Eff,Elec_Prod_Eff,Heat_prod_Eff,Heat Production Efficiency,0,None,,,,,,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,Sulfur_dioxide,Sulfur dioxide,2,"ppmv @ 7% oxygen, dry",,,,,,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,HCl,HCl,2,"ppmv @ 7% oxygen, dry",,,,,,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,NOx,NOx,35,"ppmv @ 7% oxygen, dry",,,,,,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,CO,CO,20,"ppmv @ 7% oxygen, dry",,,,,,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,PM,PM,1.5,"mg/dscm  @ 7% oxygen, dry",,,,,,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,Dioxins_Furans,Dioxins / Furans,1.5,"ng/dscm  @ 7% oxygen, dry",,,,,,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,Methane,Methane,1.1,"ppmv @ 7% oxygen, dry",,,,,,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,Nitrous_Oxide,Nitrous Oxide,1.3,"ppmv @ 7% oxygen, dry",,,,,,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,Ammonia,Ammonia,2,"ppmv @ 7% oxygen, dry",,,,,,,,
Stack_Gas_Conc_Non_metal,Stack_Gas_Conc_Non_metal,Hydrocarbons,Hydrocarbons,1,"ppmv @ 7% oxygen, dry",,,,,,,,
Stack_metal_emission,Stack_metal_emission,As,As,0.00012,None,,,,,,,,
Stack_metal_emission,Stack_metal_emission,Ba,Ba,0,None,,,,,,,,
Stack_metal_emission,Stack_metal_emission,Cd,Cd,0.00006,None,,,,,,,,
Stack_metal_emission,Stack_metal_emission,Cr,Cr,0.00039,None,,,,,,,,
Stack_metal_emission,Stack_metal_emission,Cu,Cu,0.00003,None,,,,,,,,
Stack_metal_emission,Stack_metal_emission,Hg,Hg,0.00748,None,,,,,,,,
Stack_metal_emission,Stack_metal_emission,Ni,Ni,0.00033,None,,,,,,,,
Stack_metal_emission,Stack_metal_emission,Pb,Pb,0.00001,None,,,,,,,,
Stack_metal_emission,Stack_metal_emission,Sb,Sb,0.00119,None,,,,,,,,
Stack_metal_emission,Stack_metal_emission,Se,Se,0,None,,,,,,,,
Stack_metal_emission,Stack_metal_emission,Zn,Zn,0,None,,,,,,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,As,As,0.5892,None,,,,,,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Ba,Ba,0,None,,,,,,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Cd,Cd,0.8813,None,,,,,,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Cr,Cr,0.1677,None,,,,,,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Cu,Cu,0.0753,None,,,,,,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Hg,Hg,0.9625,None,,,,,,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Ni,Ni,0.1256,None,,,,,,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Pb,Pb,0.5129,None,,,,,,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Sb,Sb,0.5984,None,,,,,,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Se,Se,0,None,,,,,,,,
Fly_Ash_metal_emission,Fly_Ash_metal_emission,Zn,Zn,0.4818,None,,,,,,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,As,As,0.41068,None,,,,,,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Ba,Ba,1,None,,,,,,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Cd,Cd,0.11864,None,,,,,,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Cr,Cr,0.83191,None,,,,,,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Cu,Cu,0.92647,None,,,,,,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Hg,Hg,0.03002,None,,,,,,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Ni,Ni,0.87407,None,,,,,,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Pb,Pb,0.48709,None,,,,,,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Sb,Sb,0.40041,None,,,,,,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Se,Se,1,None,,,,,,,,
Bottom_Ash_metal_emission,Bottom_Ash_metal_emission,Zn,Zn,0.5182,None,,,,,,,,
Metals_Recovery,Metals_Recovery,Fe_Rec_Rate,Ferrous Recovery Rate from Bottom Ash,0.9,None,,,,,,,,
Metals_Recovery,Metals_Recovery,Al_Rec_Rate,Aluminum Recovery Rate from Bottom Ash,0.65,None,,,,,,,,
Metals_Recovery,Metals_Recovery,Cu_Rec_Rate,Copper Recovery Rate from Bottom Ash,0.65,None,,,,,,,,
Metals_Recovery,Metals_Recovery,Fly_ash_frac,Fraction of Ash that Becomes Fly Ash,0.05,None,,,,,,,,
Material_Consumption,Material_Consumption,lime,Mg lime/Mg MSW,0.012,Mg/Mgww,,,,,,,,
Material_Consumption,Material_Consumption,ammonia,Mg ammonia/Mg MSW,0.0004,Mg/Mgww,,,,,,,,
Material_Consumption,Material_Consumption,carbon,Mg carbon/Mg MSW,0.0006,Mg/Mgww,,,,,,,,
Material_Consumption,Material_Consumption,Distance_from_prod_fac,Distance_from_prod_fac,100,km,,,,,,,,
Material_Consumption,Material_Consumption,Empty_Return_Truck,Empty_Return_Truck,1,None,,,,,,,,
Capital_Cost,Capital_Cost,Capital_Cost,Capital Cost,520,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Yard_Trimmings_Leaves,Operation cost of Yard_Trimmings_Leaves,43.95604396,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Yard_Trimmings_Grass,Operation cost of Yard_Trimmings_Grass,43.95604396,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Yard_Trimmings_Branches,Operation cost of Yard_Trimmings_Branches,43.95604396,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Food_Waste_Vegetable,Operation cost of Food_Waste_Vegetable,43.95604396,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Food_Waste_Non_Vegetable,Operation cost of Food_Waste_Non_Vegetable,43.95604396,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Wood,Operation cost of Wood,43.95604396,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Wood_Other,Operation cost of Wood_Other,43.95604396,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Textiles,Operation cost of Textiles,43.95604396,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Rubber_Leather,Operation cost of Rubber_Leather,43.95604396,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Newsprint,Operation cost of Newsprint,43.95604396,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Corr_Cardboard,Operation cost of Corr_Cardboard,43.95604396,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Office_Paper,Operation cost of Office_Paper,43.95604396,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Magazines,Operation cost of Magazines,43.95604396,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,third_Class_Mail,Operation cost of third_Class_Mail,43.95604396,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Folding_Containers,Operation cost of Folding_Containers,43.95604396,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Paper_Bags,Operation cost of Paper_Bags,43.95604396,$/Mg,,,,,,,,
