,key,name
0,"('biosphere3', '38a622c6-f086-4763-a952-7c6b3b1c42ba')","'1,4-Butanediol' (kilogram, None, ('air', 'urban air close to ground'))"
1,"('biosphere3', '541a823c-0aad-4dc4-9123-d4af4647d942')","'1-Pentanol' (kilogram, None, ('air', 'urban air close to ground'))"
2,"('biosphere3', '8cbaa905-41b0-4327-8403-bf1c8eb25429')","'1-Pentene' (kilogram, None, ('air', 'urban air close to ground'))"
3,"('biosphere3', 'e6137e6e-84a6-4fa1-a5bf-47c8153d7c05')","'2,4-D' (kilogram, None, ('air', 'non-urban air or from high stacks'))"
4,"('biosphere3', 'a0fec60d-3f74-48bf-a2d2-58c30fc13e53')","'2-Aminopropanol' (kilogram, None, ('air', 'urban air close to ground'))"
5,"('biosphere3', 'd5649872-502b-4d23-b882-26d74a9fc4b4')","'2-Methyl pentane' (kilogram, None, ('air', 'urban air close to ground'))"
6,"('biosphere3', 'e2d860e3-1038-4386-a5f1-25ad75d18bbd')","'2-Methyl-1-propanol' (kilogram, None, ('air', 'urban air close to ground'))"
7,"('biosphere3', '79a87f98-0b00-4e7e-86f8-70667307f696')","'2-Methyl-2-butene' (kilogram, None, ('air', 'urban air close to ground'))"
8,"('biosphere3', '90d374f1-b739-45b2-a734-d6bdd8c8dc9c')","'2-Nitrobenzoic acid' (kilogram, None, ('air', 'urban air close to ground'))"
9,"('biosphere3', 'cbf58f64-9286-406f-8dcb-ef1d81eec980')","'2-Propanol' (kilogram, None, ('air', 'urban air close to ground'))"
10,"('biosphere3', 'c6310f81-3859-4c5c-990a-4662ba179693')","'3-Methyl-1-butanol' (kilogram, None, ('air', 'urban air close to ground'))"
11,"('biosphere3', '9fbec2f4-6b42-4e63-9573-14e04befe20f')","'4-Methyl-2-pentanone' (kilogram, None, ('air', 'urban air close to ground'))"
12,"('biosphere3', '922a7ccf-3338-43ad-bd7e-77d51df051ab')","'Acenaphthene' (kilogram, None, ('air', 'non-urban air or from high stacks'))"
13,"('biosphere3', '1f4afa32-a9a2-40da-8396-104452cb637f')","'Acenaphthene' (kilogram, None, ('air',))"
14,"('biosphere3', '99c07b66-c039-4896-866d-06abdaa9d46a')","'Acenaphthene' (kilogram, None, ('air', 'urban air close to ground'))"
15,"('biosphere3', '73a06727-fec3-4d8d-8de5-ef1a0cc2c280')","'Acephate' (kilogram, None, ('air', 'non-urban air or from high stacks'))"
16,"('biosphere3', 'fc9f9a81-c4b9-4dce-bc20-9f04e05ca2f1')","'Acetaldehyde' (kilogram, None, ('air', 'non-urban air or from high stacks'))"
17,"('biosphere3', 'e3e8f6a2-c45e-4685-9859-698b2eadaf5b')","'Acetaldehyde' (kilogram, None, ('air',))"
18,"('biosphere3', '5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f')","'Acetaldehyde' (kilogram, None, ('air', 'urban air close to ground'))"
19,"('biosphere3', 'c3de45a3-e6fd-494e-aa85-d352b478e87b')","'Acetamide' (kilogram, None, ('air', 'non-urban air or from high stacks'))"
20,"('biosphere3', 'c5cc0625-6e01-4639-b053-5d1d9d22a53c')","'Acetic acid' (kilogram, None, ('air', 'non-urban air or from high stacks'))"
